2025-03-23 02:49:53,562 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:49:54,216 - Reflex model took 3.25s
2025-03-23 02:49:58,629 - Droid output took 4.41s for 1 chunks
2025-03-23 02:50:03,596 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:50:11,448 - Reflex model took 3.71s
2025-03-23 02:50:13,605 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:50:21,777 - Reflex model took 7.63s
2025-03-23 02:50:23,189 - Droid output took 11.74s for 3 chunks
2025-03-23 02:50:23,611 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 1, tts_queue: 0
2025-03-23 02:50:33,638 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 1, tts_queue: 0
2025-03-23 02:50:37,805 - Reflex model took 8.11s
2025-03-23 02:50:42,811 - Reflex model took 1.51s
2025-03-23 02:50:43,642 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 2, tts_queue: 0
2025-03-23 02:50:53,655 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 2, tts_queue: 0
2025-03-23 02:51:02,128 - Droid output took 24.72s for 5 chunks
2025-03-23 02:51:03,685 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 1, tts_queue: 0
2025-03-23 02:51:13,685 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 1, tts_queue: 0
2025-03-23 02:51:23,692 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 1, tts_queue: 1
2025-03-23 02:51:28,663 - Droid output took 26.53s for 6 chunks
2025-03-23 02:51:33,078 - Droid output took 4.41s for 1 chunks
2025-03-23 02:51:33,714 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:51:43,716 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:51:53,736 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:52:03,755 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:52:13,772 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:52:23,794 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:52:33,816 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:52:43,835 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:52:53,852 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:53:03,876 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:53:13,895 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:53:23,916 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:53:33,932 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:53:43,956 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:53:53,976 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:54:03,995 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:54:14,011 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:54:24,036 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:54:34,055 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:54:44,076 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:54:54,091 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:55:04,117 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:55:14,135 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:55:24,156 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:55:34,172 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:55:44,196 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:55:54,216 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:56:04,235 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:56:14,252 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:56:24,276 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:56:34,296 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:56:44,316 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:56:54,332 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:57:04,355 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:57:14,376 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:57:24,396 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 02:57:34,411 - QUEUE_SIZES: audio_queue: 0, text_queue: 2, response_queue: 0, tts_queue: 0
2025-03-23 03:00:14,244 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:00:24,265 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:00:34,279 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:00:44,295 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:00:54,319 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:01:04,338 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:01:14,359 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:01:24,375 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:01:34,400 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:01:44,418 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:01:54,440 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:02:04,449 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:02:14,470 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:02:24,484 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:02:34,505 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:02:44,529 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:02:54,548 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:03:04,565 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:03:14,585 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:03:24,598 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:03:34,614 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:03:44,638 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:03:54,659 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:04:04,678 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:04:14,695 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:06:02,247 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:06:12,266 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:06:22,276 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:06:32,276 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:06:42,295 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:06:52,316 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:07:02,331 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:07:12,356 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:07:22,376 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:07:32,395 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:07:42,412 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:07:52,436 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:08:02,458 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:08:12,479 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:08:22,492 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
